det,noun,raw_count,notes
numerous,people,253,""
numerous,folks,7,""
numerous,cattle,1,""
various,people,540,""
various,folks,19,""
various,cattle,2,""
two,people,11824,""
two,folks,53,""
two,cattle,10,"raw; ~3 head uses after filtering (7 modifier: breeds, trailers, farmers, isolates, cars, guards, People's Guard)"
each,people,30,"almost all ethnic-group sense (each people = each nation); ~0 in persons sense"
each,folks,1,""
each,cattle,2,"academic/veterinary"
every,people,83,"mostly ethnic-group sense or People magazine; ~0 in persons sense"
every,folks,0,""
every,cattle,2,"both modifier uses (every cattle station, every cattle drive)"
