det,det_freq,precision,noun,noun_freq,observed,expected,pmi,direction
two,1141704,tight,people,1783263,11824,2049.4,2.53,attracted
two,1141704,tight,folks,65854,53,75.7,-0.51,repelled
two,1141704,tight,cattle,14364,3,16.5,-2.46,repelled
three,571941,tight,people,1783263,3972,1027.1,1.95,attracted
three,571941,tight,folks,65854,17,37.9,-1.16,repelled
three,571941,tight,cattle,14364,7,8.3,-0.24,repelled
each,545542,tight,people,1783263,0,979.5,-inf,repelled
each,545542,tight,folks,65854,1,36.2,-5.18,repelled
each,545542,tight,cattle,14364,2,7.9,-1.98,repelled
every,569318,tight,people,1783263,0,1022.1,-inf,repelled
every,569318,tight,folks,65854,0,37.8,-inf,repelled
every,569318,tight,cattle,14364,0,8.2,-inf,repelled
several,251581,moderate,people,1783263,1155,451.8,1.35,attracted
several,251581,moderate,folks,65854,24,16.7,0.52,attracted
several,251581,moderate,cattle,14364,0,3.6,-inf,repelled
various,99848,moderate,people,1783263,540,179.3,1.59,attracted
various,99848,moderate,folks,65854,19,6.6,1.52,attracted
various,99848,moderate,cattle,14364,2,1.4,0.47,attracted
many,904039,loose,people,1783263,48153,1623.5,4.89,attracted
many,904039,loose,folks,65854,783,60.0,3.71,attracted
many,904039,loose,cattle,14364,43,13.1,1.72,attracted
numerous,35176,loose,people,1783263,253,63.2,2.00,attracted
numerous,35176,loose,folks,65854,7,2.3,1.59,attracted
numerous,35176,loose,cattle,14364,1,0.5,0.97,attracted
